td-cD,pwD,cDe
242.0128265,12.89918837,10^8
284.8035868,12.9900688,10^8
335.1602651,13.07937336,10^8
394.4206059,13.16740709,10^8
464.1588834,13.25440766,10^8
546.2277218,13.34055877,10^8
642.8073117,13.42600384,10^8
756.4633276,13.51085691,10^8
890.2150854,13.5952111,10^8
1047.615753,13.67914338,10^8
1232.846739,13.76271869,10^8
1450.828778,13.84599136,10^8
1707.352647,13.92900753,10^8
2009.233003,14.01180626,10^8
2364.489413,14.09442028,10^8
2782.559402,14.17687738,10^8
3274.549163,14.25920115,10^8
3853.528594,14.34141133,10^8
4534.878508,14.4235249,10^8
5336.699231,14.50555614,10^8
6280.291442,14.58751718,10^8
7390.722034,14.6694183,10^8
8697.490026,14.75126847,10^8
10235.31022,14.83307494,10^8
12045.0354,14.91484426,10^8
14174.74163,14.99658184,10^8
16681.00537,15.07829215,10^8
19630.4065,15.15997945,10^8
23101.297,15.24164696,10^8
27185.88243,15.3232975,10^8
31992.67138,15.40493367,10^8
37649.35807,15.48655747,10^8
44306.21458,15.56817072,10^8
52140.08288,15.64977501,10^8
61359.07273,15.7313717,10^8
72208.09018,15.81296166,10^8
84975.34359,15.89454612,10^8
100000,15.97612567,10^8
0.01,0.010006964,10^15
0.01176812,0.011775655,10^15
0.013848864,0.013856821,10^15
0.016297508,0.016305619,10^15
0.019179103,0.01918692,10^15
0.022570197,0.022577017,10^15
0.026560878,0.026565625,10^15
0.031257158,0.031258229,10^15
0.036783798,0.036778834,10^15
0.043287613,0.043273199,10^15
0.05094138,0.050912607,10^15
0.059948425,0.059898294,10^15
0.070548023,0.070466614,10^15
0.083021757,0.082895078,10^15
0.097700996,0.09750939,10^15
0.1149757,0.114691639,10^15
0.135304777,0.134889819,10^15
0.159228279,0.158628859,10^15
0.187381742,0.186523374,10^15
0.220513074,0.219292356,10^15
0.259502421,0.257776017,10^15
0.305385551,0.302955031,10^15
0.359381366,0.355972355,10^15
0.422924287,0.418157812,10^15
0.497702356,0.491055514,10^15
0.585702082,0.576454098,10^15
0.68926121,0.676419558,10^15
0.811130831,0.793330168,10^15
0.954548457,0.929912601,10^15
1.123324033,1.089277795,10^15
1.321941148,1.274954329,10^15
1.555676144,1.490916107,10^15
1.83073828,1.741599747,10^15
2.15443469,2.031905479,10^15
2.535364494,2.367173266,10^15
2.98364724,2.753123458,10^15
3.511191734,3.195748747,10^15
4.1320124,3.701141526,10^15
4.86260158,4.275238824,10^15
5.722367659,4.923466384,10^15
6.734150658,5.650265346,10^15
7.924828984,6.458491661,10^15
9.326033469,7.34869147,10^15
10.97498765,8.318278022,10^15
12.91549665,9.360669291,10^15
15.19911083,10.4644903,10^15
17.88649529,11.61299696,10^15
21.04904145,12.78392951,10^15
24.77076356,13.95003371,10^15
29.15053063,15.08047052,10^15
34.30469286,16.14323212,10^15
40.37017259,17.10846956,10^15
47.50810162,17.95231772,10^15
55.90810183,18.66045097,10^15
65.79332247,19.23037823,10^15
77.42636827,19.67159322,10^15
91.11627561,20.00324434,10^15
107.2267222,20.24985708,10^15
126.1856883,20.43641359,10^15
148.4968262,20.5843223,10^15
174.75284,20.70930883,10^15
205.6512308,20.82134179,10^15
242.0128265,20.92591064,10^15
284.8035868,21.02571234,10^15
335.1602651,21.12204312,10^15
394.4206059,21.21563651,10^15
464.1588834,21.30703317,10^15
546.2277218,21.39668322,10^15
642.8073117,21.48495387,10^15
756.4633276,21.572128,10^15
890.2150854,21.65841516,10^15
1047.615753,21.74397113,10^15
1232.846739,21.8289146,10^15
1450.828778,21.913341,10^15
1707.352647,21.99732929,10^15
2009.233003,22.08094644,10^15
2364.489413,22.16424972,10^15
2782.559402,22.24728718,10^15
3274.549163,22.3301,10^15
3853.528594,22.41272289,10^15
4534.878508,22.49518502,10^15
5336.699231,22.5775108,10^15
6280.291442,22.65972111,10^15
7390.722034,22.74183339,10^15
8697.490026,22.82386238,10^15
10235.31022,22.90582047,10^15
12045.0354,22.98771851,10^15
14174.74163,23.06956528,10^15
16681.00537,23.15136841,10^15
19630.4065,23.23313402,10^15
23101.297,23.31486833,10^15
27185.88243,23.39657543,10^15
31992.67138,23.47825971,10^15
37649.35807,23.55992457,10^15
44306.21458,23.64157258,10^15
52140.08288,23.72320629,10^15
61359.07273,23.80482811,10^15
72208.09018,23.88643938,10^15
84975.34359,23.96804175,10^15
100000,24.04963683,10^15
0.01,0.010008715,10^30
0.01176812,0.01177806,10^30
0.013848864,0.013860125,10^30
0.016297508,0.016310159,10^30
0.019179103,0.019193159,10^30
0.022570197,0.02258559,10^30
0.026560878,0.026577406,10^30
0.031257158,0.031274417,10^30
0.036783798,0.036801079,10^30
0.043287613,0.043303767,10^30
0.05094138,0.050954613,10^30
0.059948425,0.059956016,10^30
0.070548023,0.070545931,10^30
0.083021757,0.083004068,10^30
0.097700996,0.097659146,10^30
0.1149757,0.114897401,10^30
0.135304777,0.135172515,10^30
0.159228279,0.159017226,10^30
0.187381742,0.187056863,10^30
0.220513074,0.220025109,10^30
0.259502421,0.258782321,10^30
0.305385551,0.304336775,10^30
0.359381366,0.357869224,10^30
0.422924287,0.420761215,10^30
0.497702356,0.49462758,10^30
0.585702082,0.581353552,10^30
0.68926121,0.683136912,10^30
0.811130831,0.802535475,10^30
0.954548457,0.942520131,10^30
1.123324033,1.106533345,10^30
1.321941148,1.298552734,10^30
1.555676144,1.52315876,10^30
1.83073828,1.785604778,10^30
2.15443469,2.091886604,10^30
2.535364494,2.448807303,10^30
2.98364724,2.864030773,10^30
3.511191734,3.346115198,10^30
4.1320124,3.904514004,10^30
4.86260158,4.549527881,10^30
5.722367659,5.292186606,10^30
6.734150658,6.144034042,10^30
7.924828984,7.116784492,10^30
9.326033469,8.221814122,10^30
10.97498765,9.46944999,10^30
12.91549665,10.86802272,10^30
15.19911083,12.42266192,10^30
17.88649529,14.13384007,10^30
21.04904145,15.9957163,10^30
24.77076356,17.99440055,10^30
29.15053063,20.10635253,10^30
34.30469286,22.29723989,10^30
40.37017259,24.52168916,10^30
47.50810162,26.72442893,10^30
55.90810183,28.84328719,10^30
65.79332247,30.81428837,10^30
77.42636827,32.57863751,10^30
91.11627561,34.09068356,10^30
107.2267222,35.32519234,10^30
126.1856883,36.28178302,10^30
148.4968262,36.98465552,10^30
174.75284,37.47700999,10^30
205.6512308,37.81150109,10^30
242.0128265,38.03973237,10^30
284.8035868,38.20413537,10^30
335.1602651,38.33428773,10^30
394.4206059,38.44759874,10^30
464.1588834,38.55261645,10^30
546.2277218,38.65282241,10^30
642.8073117,38.74949657,10^30
756.4633276,38.84326818,10^30
890.2150854,38.9346753,10^30
1047.615753,39.02423745,10^30
1232.846739,39.11239327,10^30
1450.828778,39.19946778,10^30
1707.352647,39.28568399,10^30
2009.233003,39.37119269,10^30
2364.489413,39.45610303,10^30
2782.559402,39.54050215,10^30
3274.549163,39.62446427,10^30
3853.528594,39.70805479,10^30
4534.878508,39.79133041,10^30
5336.699231,39.87434027,10^30
6280.291442,39.95712614,10^30
7390.722034,40.03972338,10^30
8697.490026,40.12216109,10^30
10235.31022,40.2044646,10^30
12045.0354,40.28665461,10^30
14174.74163,40.36874873,10^30
16681.00537,40.45076097,10^30
19630.4065,40.53270435,10^30
23101.297,40.614589,10^30
27185.88243,40.69642406,10^30
31992.67138,40.77821671,10^30
37649.35807,40.85997323,10^30
44306.21458,40.94169951,10^30
52140.08288,41.02339949,10^30
61359.07273,41.10507742,10^30
72208.09018,41.18673682,10^30
84975.34359,41.26838015,10^30
100000,41.35000959,10^30
0.01,0.010009509,10^60
0.01176812,0.011779156,10^60
0.013848864,0.013861638,10^60
0.016297508,0.016312246,10^60
0.019179103,0.019196038,10^60
0.022570197,0.022589563,10^60
0.026560878,0.026582887,10^60
0.031257158,0.031281979,10^60
0.036783798,0.036811514,10^60
0.043287613,0.043318163,10^60
0.05094138,0.050974475,10^60
0.059948425,0.059983419,10^60
0.070548023,0.070583739,10^60
0.083021757,0.083056227,10^60
0.097700996,0.097731104,10^60
0.1149757,0.11499667,10^60
0.135304777,0.135309456,10^60
0.159228279,0.159206126,10^60
0.187381742,0.187317422,10^60
0.220513074,0.220384488,10^60
0.259502421,0.25927796,10^60
0.305385551,0.305020273,10^60
0.359381366,0.358811684,10^60
0.422924287,0.422060581,10^60
0.497702356,0.496418734,10^60
0.585702082,0.583822179,10^60
0.68926121,0.68653852,10^60
0.811130831,0.807221484,10^60
0.954548457,0.94897358,10^60
1.123324033,1.115417733,10^60
1.321941148,1.310778697,10^60
1.555676144,1.539974919,10^60
1.83073828,1.808721238,10^60
2.15443469,2.123642413,10^60
2.535364494,2.492396731,10^60
2.98364724,2.923807982,10^60
3.511191734,3.428002519,10^60
4.1320124,4.016546114,10^60
4.86260158,4.702572408,10^60
5.722367659,5.500890831,10^60
6.734150658,6.428056812,10^60
7.924828984,7.502380587,10^60
9.326033469,8.743842897,10^60
10.97498765,10.17387613,10^60
12.91549665,11.81495911,10^60
15.19911083,13.68996278,10^60
17.88649529,15.82117478,10^60
21.04904145,18.22892746,10^60
24.77076356,20.92975901,10^60
29.15053063,23.93406172,10^60
34.30469286,27.24322018,10^60
40.37017259,30.8463315,10^60
47.50810162,34.71673333,10^60
55.90810183,38.8087518,10^60
65.79332247,43.05530537,10^60
77.42636827,47.36722694,10^60
91.11627561,51.6353178,10^60
107.2267222,55.73609984,10^60
126.1856883,59.54183413,10^60
148.4968262,62.93447342,10^60
174.75284,65.82181824,10^60
205.6512308,68.15253732,10^60
242.0128265,69.92563173,10^60
284.8035868,71.19034212,10^60
335.1602651,72.03502563,10^60
394.4206059,72.56758598,10^60
464.1588834,72.89365139,10^60
546.2277218,73.09958877,10^60
642.8073117,73.24482217,10^60
756.4633276,73.3633892,10^60
890.2150854,73.47105809,10^60
1047.615753,73.57341869,10^60
1232.846739,73.67190802,10^60
1450.828778,73.76699106,10^60
1707.352647,73.85921397,10^60
2009.233003,73.9492536,10^60
2364.489413,74.03771919,10^60
2782.559402,74.12504773,10^60
3274.549163,74.21150754,10^60
3853.528594,74.29725374,10^60
4534.878508,74.38238641,10^60
5336.699231,74.46698209,10^60
6280.291442,74.55110991,10^60
7390.722034,74.63483621,10^60
8697.490026,74.71822105,10^60
10235.31022,74.80131792,10^60
12045.0354,74.88417232,10^60
14174.74163,74.96682467,10^60
16681.00537,75.04930717,10^60
19630.4065,75.13164585,10^60
23101.297,75.21386504,10^60
27185.88243,75.29598226,10^60
31992.67138,75.37801417,10^60
37649.35807,75.45997316,10^60
44306.21458,75.54187091,10^60
52140.08288,75.62371668,10^60
61359.07273,75.70551777,10^60
72208.09018,75.7872818,10^60
84975.34359,75.86901393,10^60
100000,75.9507184,10^60
0.01,0.010009903,10^125
0.01176812,0.011779701,10^125
0.013848864,0.013862391,10^125
0.016297508,0.016313288,10^125
0.019179103,0.019197478,10^125
0.022570197,0.022591553,10^125
0.026560878,0.026585638,10^125
0.031257158,0.031285782,10^125
0.036783798,0.036816771,10^125
0.043287613,0.04332543,10^125
0.05094138,0.050984521,10^125
0.059948425,0.059997306,10^125
0.070548023,0.070602934,10^125
0.083021757,0.083082762,10^125
0.097700996,0.097767783,10^125
0.1149757,0.11504737,10^125
0.135304777,0.135379536,10^125
0.159228279,0.159302992,10^125
0.187381742,0.187451307,10^125
0.220513074,0.220569534,10^125
0.259502421,0.259533708,10^125
0.305385551,0.305373718,10^125
0.359381366,0.359300118,10^125
0.422924287,0.422735519,10^125
0.497702356,0.497351315,10^125
0.585702082,0.585110633,10^125
0.68926121,0.688318457,10^125
0.811130831,0.809680065,10^125
0.954548457,0.952369042,10^125
1.123324033,1.120106256,10^125
1.321941148,1.317251352,10^125
1.555676144,1.548908425,10^125
1.83073828,1.821047629,10^125
2.15443469,2.140644497,10^125
2.535364494,2.515838742,10^125
2.98364724,2.956113993,10^125
3.511191734,3.472499652,10^125
4.1320124,4.077795119,10^125
4.86260158,4.786815688,10^125
5.722367659,5.616657406,10^125
6.734150658,6.586975676,10^125
7.924828984,7.720268567,10^125
9.326033469,9.042150628,10^125
10.97498765,10.58159571,10^125
12.91549665,12.37111808,10^125
15.19911083,14.44684873,10^125
17.88649529,16.84844823,10^125
21.04904145,19.61877919,10^125
24.77076356,22.80323985,10^125
29.15053063,26.4486373,10^125
34.30469286,30.60145801,10^125
40.37017259,35.30537966,10^125
47.50810162,40.59786889,10^125
55.90810183,46.505743,10^125
65.79332247,53.03964933,10^125
77.42636827,60.1875672,10^125
91.11627561,67.90767339,10^125
107.2267222,76.12126215,10^125
126.1856883,84.70685038,10^125
148.4968262,93.49709226,10^125
174.75284,102.2805322,10^125
205.6512308,110.8103449,10^125
242.0128265,118.8217117,10^125
284.8035868,126.0580474,10^125
335.1602651,132.3037189,10^125
394.4206059,137.4175352,10^125
464.1588834,141.3582901,10^125
546.2277218,144.1930013,10^125
642.8073117,146.082087,10^125
756.4633276,147.2434528,10^125
890.2150854,147.9062023,10^125
1047.615753,148.2692948,10^125
1232.846739,148.4775851,10^125
1450.828778,148.6188186,10^125
1707.352647,148.735924,10^125
2009.233003,148.8446973,10^125
2364.489413,148.9487385,10^125
2782.559402,149.0482682,10^125
3274.549163,149.1436059,10^125
3853.528594,149.2356523,10^125
4534.878508,149.3254431,10^125
5336.699231,149.4137738,10^125
6280.291442,149.5011116,10^125
7390.722034,149.587677,10^125
8697.490026,149.6735677,10^125
10235.31022,149.7588422,10^125
12045.0354,149.8435583,10^125
14174.74163,149.9277793,10^125
16681.00537,150.0115725,10^125
19630.4065,150.0950039,10^125
23101.297,150.178135,10^125
27185.88243,150.2610115,10^125
31992.67138,150.3436792,10^125
37649.35807,150.4261722,10^125
44306.21458,150.5085198,10^125
52140.08288,150.5907429,10^125
61359.07273,150.6728633,10^125
72208.09018,150.7548979,10^125
84975.34359,150.83686,10^125
100000,150.9187585,10^125
