td-cD,pwDD,cDe
0.01,0,0.001
0.01176812,0,0.001
0.013848864,0,0.001
0.016297508,0,0.001
0.019179103,0,0.001
0.022570197,0,0.001
0.026560878,0.002851746,0.001
0.031257158,0.003100515,0.001
0.036783798,0.003369638,0.001
0.043287613,0.003660823,0.001
0.05094138,0.003975921,0.001
0.059948425,0.004316933,0.001
0.070548023,0.00468602,0.001
0.083021757,0.005085517,0.001
0.097700996,0.005517945,0.001
0.1149757,0.005986021,0.001
0.135304777,0.006492678,0.001
0.159228279,0.007041074,0.001
0.187381742,0.007634612,0.001
0.220513074,0.008276955,0.001
0.259502421,0.008972042,0.001
0.305385551,0.00972411,0.001
0.359381366,0.010537709,0.001
0.422924287,0.011417722,0.001
0.497702356,0.012369386,0.001
0.585702082,0.013398313,0.001
0.68926121,0.014510507,0.001
0.811130831,0.015712387,0.001
0.954548457,0.017010806,0.001
1.123324033,0.018413068,0.001
1.321941148,0.019926951,0.001
1.555676144,0.021560719,0.001
1.83073828,0.023323136,0.001
2.15443469,0.025223482,0.001
2.535364494,0.027271554,0.001
2.98364724,0.029477678,0.001
3.511191734,0.031852701,0.001
4.1320124,0.034407984,0.001
4.86260158,0.037155391,0.001
5.722367659,0.04010726,0.001
6.734150658,0.043276366,0.001
7.924828984,0.046675885,0.001
9.326033469,0.050319321,0.001
10.97498765,0.054220439,0.001
12.91549665,0.058393177,0.001
15.19911083,0.062851521,0.001
17.88649529,0.067609395,0.001
21.04904145,0.072680493,0.001
24.77076356,0.078078113,0.001
29.15053063,0.083814961,0.001
34.30469286,0.089902923,0.001
40.37017259,0.096352825,0.001
47.50810162,0.103174174,0.001
55.90810183,0.110374851,0.001
65.79332247,0.117960829,0.001
77.42636827,0.12593584,0.001
91.11627561,0.134301053,0.001
107.2267222,0.143054758,0.001
126.1856883,0.152192038,0.001
148.4968262,0.161704467,0.001
174.75284,0.171579848,0.001
205.6512308,0.181801963,0.001
242.0128265,0.192350427,0.001
284.8035868,0.203200566,0.001
335.1602651,0.21432335,0.001
394.4206059,0.225685501,0.001
464.1588834,0.237249637,0.001
546.2277218,0.248974531,0.001
642.8073117,0.260815504,0.001
756.4633276,0.272724928,0.001
890.2150854,0.2846528,0.001
1047.615753,0.296547477,0.001
1232.846739,0.308356455,0.001
1450.828778,0.320027159,0.001
1707.352647,0.331507913,0.001
2009.233003,0.342748769,0.001
2364.489413,0.353702393,0.001
2782.559402,0.364324927,0.001
3274.549163,0.374576607,0.001
3853.528594,0.384422586,0.001
4534.878508,0.39383326,0.001
5336.699231,0.402784624,0.001
6280.291442,0.41125861,0.001
7390.722034,0.419243055,0.001
8697.490026,0.426731515,0.001
10235.31022,0.433723019,0.001
12045.0354,0.440221833,0.001
14174.74163,0.446236757,0.001
16681.00537,0.451780771,0.001
19630.4065,0.456870412,0.001
23101.297,0.461524941,0.001
27185.88243,0.46576597,0.001
31992.67138,0.469616734,0.001
37649.35807,0.473101406,0.001
44306.21458,0.476245018,0.001
52140.08288,0.479072494,0.001
61359.07273,0.481608343,0.001
72208.09018,0.483876793,0.001
84975.34359,0.485901002,0.001
100000,0.493838434,0.001
0.01,0.004673094,0.01
0.01176812,0.004765213,0.01
0.013848864,0.005303208,0.01
0.016297508,0.005889351,0.01
0.019179103,0.006526678,0.01
0.022570197,0.007218403,0.01
0.026560878,0.007967957,0.01
0.031257158,0.008779024,0.01
0.036783798,0.009655579,0.01
0.043287613,0.010601931,0.01
0.05094138,0.011622759,0.01
0.059948425,0.012723154,0.01
0.070548023,0.01390865,0.01
0.083021757,0.015185255,0.01
0.097700996,0.016559482,0.01
0.1149757,0.018038367,0.01
0.135304777,0.019629491,0.01
0.159228279,0.021340989,0.01
0.187381742,0.023181566,0.01
0.220513074,0.025160496,0.01
0.259502421,0.027287629,0.01
0.305385551,0.029573377,0.01
0.359381366,0.032028716,0.01
0.422924287,0.03466516,0.01
0.497702356,0.03749474,0.01
0.585702082,0.040529975,0.01
0.68926121,0.043783823,0.01
0.811130831,0.047269634,0.01
0.954548457,0.051001084,0.01
1.123324033,0.054992085,0.01
1.321941148,0.059256693,0.01
1.555676144,0.063808992,0.01
1.83073828,0.068662949,0.01
2.15443469,0.07383227,0.01
2.535364494,0.079330211,0.01
2.98364724,0.085169372,0.01
3.511191734,0.091361475,0.01
4.1320124,0.097917109,0.01
4.86260158,0.104845459,0.01
5.722367659,0.112154023,0.01
6.734150658,0.119848296,0.01
7.924828984,0.127931439,0.01
9.326033469,0.13640398,0.01
10.97498765,0.145263464,0.01
12.91549665,0.154504146,0.01
15.19911083,0.16411672,0.01
17.88649529,0.174088021,0.01
21.04904145,0.184400821,0.01
24.77076356,0.195033679,0.01
29.15053063,0.205960835,0.01
34.30469286,0.217152209,0.01
40.37017259,0.22857347,0.01
47.50810162,0.240186254,0.01
55.90810183,0.251948449,0.01
65.79332247,0.263814585,0.01
77.42636827,0.275736373,0.01
91.11627561,0.287663357,0.01
107.2267222,0.299543611,0.01
126.1856883,0.311324528,0.01
148.4968262,0.322953713,0.01
174.75284,0.334379844,0.01
205.6512308,0.345553581,0.01
242.0128265,0.356428426,0.01
284.8035868,0.366961474,0.01
335.1602651,0.377114168,0.01
394.4206059,0.386852994,0.01
464.1588834,0.396149731,0.01
546.2277218,0.404981912,0.01
642.8073117,0.413332993,0.01
756.4633276,0.421192224,0.01
890.2150854,0.428554635,0.01
1047.615753,0.43542061,0.01
1232.846739,0.44179566,0.01
1450.828778,0.447689732,0.01
1707.352647,0.45311678,0.01
2009.233003,0.458094029,0.01
2364.489413,0.46264139,0.01
2782.559402,0.466781023,0.01
3274.549163,0.470536462,0.01
3853.528594,0.473932164,0.01
4534.878508,0.47699305,0.01
5336.699231,0.479744012,0.01
6280.291442,0.482209686,0.01
7390.722034,0.484413938,0.01
8697.490026,0.486379568,0.01
10235.31022,0.488128565,0.01
12045.0354,0.489681552,0.01
14174.74163,0.491057555,0.01
16681.00537,0.49227463,0.01
19630.4065,0.493349301,0.01
23101.297,0.49429664,0.01
27185.88243,0.495130581,0.01
31992.67138,0.49586363,0.01
37649.35807,0.496507186,0.01
44306.21458,0.497071413,0.01
52140.08288,0.497565658,0.01
61359.07273,0.497998195,0.01
72208.09018,0.498376159,0.01
84975.34359,0.498706275,0.01
100000,0.506015982,0.01
0.01,0.010005425,1
0.01176812,0.01044738,1
0.013848864,0.012164185,1
0.016297508,0.014150091,1
0.019179103,0.016443772,1
0.022570197,0.019088512,1
0.026560878,0.022132491,1
0.031257158,0.025629016,1
0.036783798,0.029636646,1
0.043287613,0.034219199,1
0.05094138,0.039445568,1
0.059948425,0.045389324,1
0.070548023,0.05212801,1
0.083021757,0.059742086,1
0.097700996,0.06831345,1
0.1149757,0.077923452,1
0.135304777,0.088650353,1
0.159228279,0.100566169,1
0.187381742,0.113732898,1
0.220513074,0.128198122,1
0.259502421,0.143990086,1
0.305385551,0.161112391,1
0.359381366,0.179538535,1
0.422924287,0.199206631,1
0.497702356,0.22001478,1
0.585702082,0.241817588,1
0.68926121,0.264424429,1
0.811130831,0.287600106,1
0.954548457,0.311068426,1
1.123324033,0.334519072,1
1.321941148,0.357617962,1
1.555676144,0.380020821,1
1.83073828,0.401389298,1
2.15443469,0.421408514,1
2.535364494,0.439804536,1
2.98364724,0.456359972,1
3.511191734,0.470925982,1
4.1320124,0.483429212,1
4.86260158,0.49387272,1
5.722367659,0.502330888,1
6.734150658,0.508938884,1
7.924828984,0.513878224,1
9.326033469,0.517360256,1
10.97498765,0.519609787,1
12.91549665,0.520850333,1
15.19911083,0.521292234,1
17.88649529,0.521124722,1
21.04904145,0.520511261,1
24.77076356,0.519588053,1
29.15053063,0.518464845,1
34.30469286,0.517227505,1
40.37017259,0.515941173,1
47.50810162,0.514653585,1
55.90810183,0.513398659,1
65.79332247,0.512199273,1
77.42636827,0.51106998,1
91.11627561,0.510019084,1
107.2267222,0.509050194,1
126.1856883,0.508163649,1
148.4968262,0.507357454,1
174.75284,0.506628133,1
205.6512308,0.505971188,1
242.0128265,0.505381777,1
284.8035868,0.504854677,1
335.1602651,0.504384504,1
394.4206059,0.503966182,1
464.1588834,0.503594901,1
546.2277218,0.503266013,1
642.8073117,0.502975123,1
756.4633276,0.502718215,1
890.2150854,0.502491671,1
1047.615753,0.502292362,1
1232.846739,0.502117052,1
1450.828778,0.501962991,1
1707.352647,0.501827908,1
2009.233003,0.501709472,1
2364.489413,0.50160566,1
2782.559402,0.501514938,1
3274.549163,0.501435646,1
3853.528594,0.501366257,1
4534.878508,0.50130576,1
5336.699231,0.501252973,1
6280.291442,0.501206892,1
7390.722034,0.501166819,1
8697.490026,0.50113196,1
10235.31022,0.501101638,1
12045.0354,0.501075175,1
14174.74163,0.50105216,1
16681.00537,0.50103218,1
19630.4065,0.501014828,1
23101.297,0.500999718,1
27185.88243,0.50098677,1
31992.67138,0.500975549,1
37649.35807,0.500965559,1
44306.21458,0.500957035,1
52140.08288,0.500949782,1
61359.07273,0.500943378,1
72208.09018,0.500937786,1
84975.34359,0.50093315,1
100000,0.508116529,1
0.01,0.011201037,1000
0.01176812,0.011755298,1000
0.013848864,0.013822117,1000
0.016297508,0.016250358,1000
0.019179103,0.019102532,1000
0.022570197,0.022451721,1000
0.026560878,0.026383273,1000
0.031257158,0.030996746,1000
0.036783798,0.03640811,1000
0.043287613,0.042752241,1000
0.05094138,0.050185704,1000
0.059948425,0.058889841,1000
0.070548023,0.069074151,1000
0.083021757,0.080979925,1000
0.097700996,0.094884069,1000
0.1149757,0.111103008,1000
0.135304777,0.129996487,1000
0.159228279,0.151970996,1000
0.187381742,0.177482459,1000
0.220513074,0.207037622,1000
0.259502421,0.24119345,1000
0.305385551,0.280553523,1000
0.359381366,0.325760217,1000
0.422924287,0.37748105,1000
0.497702356,0.436387289,1000
0.585702082,0.503122484,1000
0.68926121,0.578258373,1000
0.811130831,0.662235566,1000
0.954548457,0.755286517,1000
1.123324033,0.857339246,1000
1.321941148,0.967902059,1000
1.555676144,1.085932221,1000
1.83073828,1.209696439,1000
2.15443469,1.336637287,1000
2.535364494,1.463267949,1000
2.98364724,1.585127121,1000
3.511191734,1.696834659,1000
4.1320124,1.792293005,1000
4.86260158,1.865075947,1000
5.722367659,1.909027148,1000
6.734150658,1.919051839,1000
7.924828984,1.892023703,1000
9.326033469,1.827652708,1000
10.97498765,1.72909027,1000
12.91549665,1.603023138,1000
15.19911083,1.45907047,1000
17.88649529,1.308470838,1000
21.04904145,1.16229223,1000
24.77076356,1.029625891,1000
29.15053063,0.916294479,1000
34.30469286,0.824445533,1000
40.37017259,0.753066667,1000
47.50810162,0.699114238,1000
55.90810183,0.658772074,1000
65.79332247,0.628431039,1000
77.42636827,0.605205897,1000
91.11627561,0.587035581,1000
107.2267222,0.572541601,1000
126.1856883,0.560814314,1000
148.4968262,0.551232565,1000
174.75284,0.543346725,1000
205.6512308,0.536815535,1000
242.0128265,0.531373495,1000
284.8035868,0.526813706,1000
335.1602651,0.522974684,1000
394.4206059,0.519729603,1000
464.1588834,0.516978455,1000
546.2277218,0.514640574,1000
642.8073117,0.51265055,1000
756.4633276,0.510954726,1000
890.2150854,0.509507889,1000
1047.615753,0.508272014,1000
1232.846739,0.507215954,1000
1450.828778,0.506312919,1000
1707.352647,0.505540027,1000
2009.233003,0.50487843,1000
2364.489413,0.504311677,1000
2782.559402,0.503825967,1000
3274.549163,0.503409754,1000
3853.528594,0.503053101,1000
4534.878508,0.502747289,1000
5336.699231,0.502484726,1000
6280.291442,0.502259616,1000
7390.722034,0.502066402,1000
8697.490026,0.501901166,1000
10235.31022,0.50175912,1000
12045.0354,0.501637096,1000
14174.74163,0.501532695,1000
16681.00537,0.501442779,1000
19630.4065,0.501366015,1000
23101.297,0.50130011,1000
27185.88243,0.501243235,1000
31992.67138,0.501194685,1000
37649.35807,0.501153209,1000
44306.21458,0.501117485,1000
52140.08288,0.50108687,1000
61359.07273,0.501060395,1000
72208.09018,0.501037876,1000
84975.34359,0.501018742,1000
100000,0.508196466,1000
0.01,0.011253196,10^8
0.01176812,0.011813503,10^8
0.013848864,0.013898643,10^8
0.016297508,0.016351115,10^8
0.019179103,0.019235368,10^8
0.022570197,0.022627063,10^8
0.026560878,0.026614982,10^8
0.031257158,0.03130326,10^8
0.036783798,0.036813965,10^8
0.043287613,0.043290095,10^8
0.05094138,0.050899037,10^8
0.059948425,0.05983655,10^8
0.070548023,0.070331326,10^8
0.083021757,0.082650198,10^8
0.097700996,0.097104039,10^8
0.1149757,0.114054401,10^8
0.135304777,0.133920906,10^8
0.159228279,0.157189381,10^8
0.187381742,0.184420661,10^8
0.220513074,0.216259937,10^8
0.259502421,0.253446332,10^8
0.305385551,0.29682235,10^8
0.359381366,0.347342492,10^8
0.422924287,0.406080114,10^8
0.497702356,0.474231174,10^8
0.585702082,0.553112975,10^8
0.68926121,0.644155361,10^8
0.811130831,0.748881034,10^8
0.954548457,0.868870571,10^8
1.123324033,1.005706794,10^8
1.321941148,1.16089189,10^8
1.555676144,1.335729686,10^8
1.83073828,1.531165051,10^8
2.15443469,1.747572613,10^8
2.535364494,1.984489204,10^8
2.98364724,2.24028906,10^8
3.511191734,2.511809474,10^8
4.1320124,2.793949096,10^8
4.86260158,3.079281442,10^8
5.722367659,3.3577542,10^8
6.734150658,3.616577504,10^8
7.924828984,3.840436703,10^8
9.326033469,4.012184538,10^8
10.97498765,4.114157631,10^8
12.91549665,4.130196721,10^8
15.19911083,4.048302343,10^8
17.88649529,3.863620559,10^8
21.04904145,3.581146751,10^8
24.77076356,3.217261029,10^8
29.15053063,2.799141437,10^8
34.30469286,2.361448973,10^8
40.37017259,1.940528403,10^8
47.50810162,1.567496673,10^8
55.90810183,1.262418876,10^8
65.79332247,1.031660588,10^8
77.42636827,0.869272735,10^8
91.11627561,0.761500867,10^8
107.2267222,0.692265809,10^8
126.1856883,0.647467949,10^8
148.4968262,0.617025203,10^8
174.75284,0.594858733,10^8
205.6512308,0.577780336,10^8
